Ticker,Bourse,name,secteur,cap,prix,devise,roic,roe,gm,rg,ev_ebitda,pfcf,pb,fcy,mom,epsg,altman,debt_eb,cur_r,pio,Q,V,M,S,Score,Verdict,Date_Analyse
UCB.BR,Europe,UCB SA,Autre,Large,263.1,EUR,,14.9,74.3,26.6,18.4,27.4,4.61,3.7,58.8,99.7,16367200627.76,0.86,1.376,6,71.5,42.7,66.0,76.7,62.5,CANDIDAT (>=55),2026-03-04
BAYN.DE,Europe,Bayer Aktiengesellschaft,Autre,Large,37.4,EUR,,-0.6,57.3,-3.1,8.7,7.1,1.24,14.1,82.5,2390.4,72543199539.76,4.9,1.136,5,50.4,58.6,92.4,56.7,62.2,CANDIDAT (>=55),2026-03-04
KER.PA,CAC 40,Kering SA,Autre,Large,256.9,EUR,,0.2,72.6,,18.2,13.7,2.14,7.3,6.4,4749.4,23066900532.22,7.3,1.336,5,68.4,47.3,76.3,56.7,61.9,CANDIDAT (>=55),2026-03-04
EDP.LS,Europe,"EDP, S.A.",Utilities,Large,4.258,EUR,,8.3,44.5,0.4,8.7,,1.55,,46.5,86.2,31448882278.86,4.79,1.337,5,54.8,69.3,56.9,56.7,59.9,CANDIDAT (>=55),2026-03-04
ORA.PA,CAC 40,Orange S.A.,Telecom,Large,17.645,EUR,,3.2,36.9,,8.1,19.8,1.58,5.1,48.1,559.2,73673200435.81,4.54,1.114,5,62.6,55.8,63.0,56.7,59.8,CANDIDAT (>=55),2026-03-04
MF.PA,SBF Mid,Wendel,Finance,Mid,84.8,EUR,,6.0,11.5,,7.5,6.1,1.02,16.5,2.6,326.8,11631589977.92,5.71,1.531,5,61.2,52.9,65.1,56.7,58.8,CANDIDAT (>=55),2026-03-04
NOKIA.HE,Europe,Nokia Oyj,Tech,Large,7.032,EUR,,3.1,44.6,2.4,13.7,66.7,1.87,1.5,21.3,227.6,28482200453.34,1.69,1.579,5,51.7,50.2,73.4,71.7,58.6,CANDIDAT (>=55),2026-03-04
SAN.PA,CAC 40,Sanofi,Autre,Large,79.23,EUR,,6.7,72.3,6.9,8.7,5.7,1.34,17.4,-22.0,121.1,88421398633.22,1.61,1.092,6,61.9,59.5,40.8,71.7,58.4,CANDIDAT (>=55),2026-03-04
FGR.PA,SBF Mid,Eiffage SA,Industrie,Large,140.35,EUR,,17.2,84.0,9.3,5.8,6.1,1.73,16.3,30.9,26.2,39777700275.71,3.81,0.954,5,61.5,64.6,52.5,43.3,57.9,CANDIDAT (>=55),2026-03-04
SAP.DE,Europe,SAP SE,Tech,Large,167.38,EUR,,16.1,73.8,3.3,17.1,23.0,4.38,4.3,-35.4,39.5,73872199593.24,0.67,1.163,6,59.8,56.0,41.4,76.7,57.5,CANDIDAT (>=55),2026-03-04
ML.PA,CAC 40,Compagnie Générale des Établissements Michelin Société en commandite par actions,Autre,Large,31.92,EUR,,,,,,,0.38,,-1.7,,13661160652.8,,,2,68.1,41.2,73.8,43.3,57.4,CANDIDAT (>=55),2026-03-04
