Ticker,Bourse,name,secteur,cap,prix,devise,Q,V,M,S,F,Score,Verdict,roic,roe,roa,gm,pm,rg,epsg,pe,fpe,pb,ps,pfcf,ev_ebitda,fcy,div_yield,peg,mom,mom_6m,mom_3m,altman,debt_eb,cur_r,pio,beta,vol_30d,accruals,dist_52s,rev_proxy,alerte_revision,mom_rel_sect,liquidite,value_trap,sizing,dilution_pct,Date_Analyse
AI.PA,PA,Air Liquide,Materiaux,Large,170.3,EUR,45.1,29.3,29.7,45.1,66.1,39.1,EVITER (<40),,13.4,6.3,64.2,13.1,-3.4,5.7,27.9,21.6,3.7,3.7,,14.1,1.6,215.0,,-3.8,-2.4,7.4,,1.75,1.17,5,0.72,24.6,,-8.4,0.774,FORTE HAUSSE ATTENDUE,0.966,OK,False,0% — ne pas investir,-0.0,2026-03-05
AIR.PA,PA,Airbus,Industrie,Large,175.88,EUR,43.5,19.3,44.8,44.6,52.7,38.3,EVITER (<40),,21.6,2.7,15.6,7.1,5.1,6.5,26.7,20.2,5.3,1.9,,17.1,-0.9,181.0,,18.9,-8.8,-10.0,,1.79,1.16,3,0.83,30.7,,-20.1,0.758,FORTE HAUSSE ATTENDUE,0.843,OK,False,0% — ne pas investir,-0.26,2026-03-05
ALO.PA,PA,Alstom,Industrie,Large,25.28,EUR,4.1,48.8,79.2,29.5,58.2,36.8,EVITER (<40),,3.3,1.3,12.6,1.7,3.2,262.4,43.6,11.9,1.2,0.6,,11.5,1.2,,,22.8,20.3,5.6,,3.2,0.97,2,1.27,37.0,,-15.3,0.272,FORTE HAUSSE ATTENDUE,1.166,OK,False,0% — ne pas investir,-0.0,2026-03-05
MT.AS,AS,ArcelorMittal,Materiaux,Large,49.31,EUR,5.6,57.6,90.0,43.4,60.4,43.9,SURVEILLER (>=40),,6.0,2.0,9.6,5.1,1.7,,13.9,8.4,0.8,0.6,,8.5,-3.1,95.0,,73.8,69.5,32.1,,2.27,1.36,3,1.67,50.4,,-13.4,0.6,FORTE HAUSSE ATTENDUE,1.701,OK,False,0% — ne pas investir,0.0,2026-03-05
CS.PA,PA,AXA,Finance,Large,38.05,EUR,35.0,67.8,51.6,56.0,61.7,51.0,SURVEILLER (>=40),,18.1,1.2,17.7,11.7,2.3,60.3,11.6,8.6,1.7,0.9,,6.2,,599.0,,9.3,-4.2,-2.5,,1.32,,2,0.61,24.1,,-12.3,0.74,FORTE HAUSSE ATTENDUE,0.927,OK,False,0% — ne pas investir,-0.0,2026-03-05
BNP.PA,PA,BNP Paribas,Finance,Large,87.03,EUR,19.1,58.3,88.1,50.0,64.6,49.6,SURVEILLER (>=40),,9.7,0.5,0.0,25.5,11.5,43.2,8.5,6.8,0.8,2.0,,,,1114.0,,38.7,13.7,12.2,,,,1,0.99,26.2,,-9.7,0.802,REVISION POSITIVE,1.101,OK,False,0% — ne pas investir,-1.49,2026-03-05
EN.PA,PA,Bouygues,Industrie,Large,49.49,EUR,28.6,79.2,95.6,28.4,68.7,56.6,CANDIDAT (>=55),,8.7,2.2,56.3,2.0,-1.6,22.1,18.0,12.4,1.5,0.3,,6.1,13.8,418.0,,39.5,32.4,13.2,,3.26,0.93,2,0.72,22.6,,-6.1,0.691,FORTE HAUSSE ATTENDUE,1.283,OK,True,2-3% portefeuille (POSITION INITIALE),0.0,2026-03-05
CAP.PA,PA,Capgemini,Tech,Large,109.65,EUR,29.4,53.1,14.2,50.0,42.7,36.0,EVITER (<40),,,,13.3,7.1,3.7,9.3,12.0,7.8,1.7,0.8,,,,317.0,,-17.8,-10.9,-25.5,,,,2,0.67,50.0,,-28.9,0.649,FORTE HAUSSE ATTENDUE,0.97,OK,False,0% — ne pas investir,-0.0,2026-03-05
CA.PA,PA,Carrefour,Conso,Large,15.23,EUR,17.1,79.0,74.6,21.2,69.2,47.3,SURVEILLER (>=40),,8.6,2.4,17.9,0.4,,,10.7,8.1,1.0,0.1,,7.4,18.7,637.0,,24.3,26.5,13.2,,5.93,0.88,2,0.69,29.8,,-5.7,0.758,FORTE HAUSSE ATTENDUE,1.286,OK,True,0% — ne pas investir,0.0,2026-03-05
ACA.PA,PA,Credit Agricole,Finance,Large,17.005,EUR,4.4,58.9,43.5,50.0,63.6,35.6,EVITER (<40),,6.9,0.3,0.0,26.6,-60.4,-76.7,7.8,6.9,0.7,1.9,,,,642.0,,17.5,3.4,-0.9,,,,1,0.74,27.9,,-10.6,0.881,REVISION POSITIVE,1.002,OK,False,0% — ne pas investir,0.0,2026-03-05
